"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","14:40","17:05","1sa 25dk","6.614",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","06:05","08:25","1sa 20dk","6.837",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","19:40","22:05","1sa 25dk","7.339",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","08:05","10:35","1sa 30dk","7.339",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","16:20","18:40","1sa 20dk","7.359",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","ORY","El çantası","Direkt Uçuş","15:05","17:40","1sa 35dk","7.364",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","19:30","21:50","1sa 20dk","7.413",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","19:15","21:30","1sa 15dk","8.057",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","11:35","13:55","1sa 20dk","8.217",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","16:30","18:45","1sa 15dk","8.486",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","14:40","17:05","1sa 25dk","8.865",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","14:40","17:05","1sa 25dk","9.050",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","08:00","10:20","1sa 20dk","9.555",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","06:05","08:25","1sa 20dk","9.902",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KM.png","KM Malta Airlines","LGW","MLA","El çantası","1 Aktarma","11:55","09:00","20sa 5dk","10.023","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","16:20","18:40","1sa 20dk","10.385",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KM.png","KM Malta Airlines","LGW","MLA","El çantası","1 Aktarma","11:55","20:05","7sa 10dk","10.483","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","19:30","21:50","1sa 20dk","10.529",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","06:15","08:35","1sa 20dk","10.816",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","10.855",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","11.040",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","19:15","21:30","1sa 15dk","11.065",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","11:35","13:55","1sa 20dk","11.226",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","14:15","4sa 20dk","11.273","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","14:45","4sa 50dk","11.273","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","15:15","5sa 20dk","11.273","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","15:30","5sa 35dk","11.273","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","16:15","6sa 20dk","11.273","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","08:15","22sa 20dk","11.273","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","16:30","18:45","1sa 15dk","11.494",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","11.758",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","08:05","10:35","1sa 30dk","11.758",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LCY","AMS","Kabin bagajı","1 Aktarma","09:20","15:30","5sa 10dk","11.808","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","19:45","22:00","1sa 15dk","11.821",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","17:35","19:55","1sa 20dk","11.821",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","11.943",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","08:05","10:35","1sa 30dk","11.943",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","08:45","10sa 55dk","12.275","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","16:10","6sa 15dk","12.278","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","17:40","7sa 45dk","12.278","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","17:45","7sa 50dk","12.278","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","19:15","9sa 20dk","12.278","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","1x25 kg","Direkt Uçuş","14:40","17:05","1sa 25dk","12.340",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","08:00","10:20","1sa 20dk","12.513",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","CDG","Kabin bagajı","Direkt Uçuş","08:25","10:45","1sa 20dk","12.574",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","09:55","17:45","6sa 50dk","12.815","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","11:05","13sa 15dk","12.860","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","06:01","09:19","2sa 18dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","06:01","09:19","2sa 18dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","16:31","19:51","2sa 20dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","16:31","19:51","2sa 20dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","07:01","10:22","2sa 21dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","07:01","10:22","2sa 21dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","07:31","10:52","2sa 21dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","07:31","10:52","2sa 21dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","09:31","12:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","09:31","12:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","10:31","13:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","10:31","13:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","11:31","14:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","11:31","14:53","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","16:01","19:23","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","16:01","19:23","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","19:01","22:23","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","19:01","22:23","2sa 22dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","18:01","21:25","2sa 24dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","18:01","21:25","2sa 24dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","08:01","11:27","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","08:01","11:27","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","12:01","15:27","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","12:01","15:27","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","14:31","17:57","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","14:31","17:57","2sa 26dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","17:31","21:00","2sa 29dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","17:31","21:00","2sa 29dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","20:01","23:30","2sa 29dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","20:01","23:30","2sa 29dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","15:31","19:02","2sa 31dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","15:31","19:02","2sa 31dk","12.892",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","1x25 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","13.027",""
