"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","20:10","22:35","1sa 25dk","4.804",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","19:10","21:30","1sa 20dk","5.787",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","20:10","22:35","1sa 25dk","6.871",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","09:20","11sa 30dk","7.100","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","19:45","22:00","1sa 15dk","7.450",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","10:50","13sa","7.455","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","12:00","14sa 10dk","7.455","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KM.png","KM Malta Airlines","LHR","MLA","El çantası","1 Aktarma","20:30","09:00","11sa 30dk","7.538","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","20:10","22:35","1sa 25dk","7.572",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","13:20","15sa 30dk","8.130","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","16:30","18:45","1sa 15dk","8.164",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","06:05","08:25","1sa 20dk","8.378",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","ORY","El çantası","Direkt Uçuş","15:05","17:40","1sa 35dk","8.399",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","08:45","11:05","1sa 20dk","8.911",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/LG.png","Luxair","LCY","LUX","1x23 kg","1 Aktarma","07:35","08:35","1g","8.919","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","19:10","21:30","1sa 20dk","9.017",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LGW","FCO","El çantası","1 Aktarma","12:05","23:40","10sa 35dk","9.192","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LHR","AMS","1x23 kg","1 Aktarma","18:35","09:25","13sa 50dk","9.427","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","12:35","15:00","1sa 25dk","9.715",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","07:00","09:20","1sa 20dk","9.930",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","09:00","16:00","6sa","9.950","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","08:00","10:20","1sa 20dk","9.984",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","BCN","1x23 kg","1 Aktarma","21:05","08:35","10sa 30dk","10.301","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","BCN","1x23 kg","1 Aktarma","20:55","08:35","10sa 40dk","10.301","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","20:01","23:23","2sa 22dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","20:01","23:23","2sa 22dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","18:01","21:25","2sa 24dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","18:01","21:25","2sa 24dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","19:01","22:33","2sa 32dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","19:01","22:33","2sa 32dk","10.460",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","1x25 kg","Direkt Uçuş","20:10","22:35","1sa 25dk","10.489",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","17:35","19:55","1sa 20dk","10.816",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","10.855",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","11.040",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KM.png","KM Malta Airlines","LGW","MLA","El çantası","1 Aktarma","11:55","20:05","7sa 10dk","11.118","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LHR","AMS","1x23 kg","1 Aktarma","14:45","09:25","17sa 40dk","11.186","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/LH.png","Lufthansa","LHR","FRA","1x23 kg","1 Aktarma","08:30","08:55","23sa 25dk","11.288","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/LH.png","Lufthansa","LHR","FRA","1x23 kg","1 Aktarma","07:30","08:55","1g 25dk","11.288","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KL.png","KLM Royal Dutch Airlines","LHR","AMS","1x23 kg","1 Aktarma","14:45","21:50","6sa 5dk","11.308","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/KM.png","KM Malta Airlines","LGW","MLA","El çantası","1 Aktarma","11:55","09:00","20sa 5dk","11.329","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","16:30","18:45","1sa 15dk","11.440",""
