"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","summary-seats","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","19:40","22:05","1sa 25dk","4.469","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","17:00","19:15","1sa 15dk","5.162","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","06:05","08:25","1sa 20dk","5.162","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","18:00","20:15","1sa 15dk","5.397","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","19:15","21:30","1sa 15dk","5.397","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","19:00","21:20","1sa 20dk","5.397","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","ORY","El çantası","Direkt Uçuş","15:05","17:40","1sa 35dk","5.704","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","El çantası","Direkt Uçuş","07:40","10:10","1sa 30dk","6.054","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","14:10","16:30","1sa 20dk","6.216","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","El çantası","Direkt Uçuş","15:05","17:25","1sa 20dk","6.397","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","El çantası","Direkt Uçuş","08:05","10:30","1sa 25dk","6.504","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","6.871","",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","17:31","20:53","2sa 22dk","6.948","Son 1 koltuk",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LHR","BCN","El çantası","1 Aktarma","20:50","08:25","10sa 35dk","7.010","","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","7.572","",""
