"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","15:10","17:30","1sa 20dk","5.477",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","20:01","23:26","2sa 25dk","5.687",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","20:01","23:26","2sa 25dk","5.687",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","17:31","21:00","2sa 29dk","5.687",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","17:31","21:00","2sa 29dk","5.687",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","06:15","08:35","1sa 20dk","5.899",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","19:01","22:23","2sa 22dk","6.304",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","19:01","22:23","2sa 22dk","6.304",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LTN","CDG","1x23 kg","Direkt Uçuş","06:05","08:25","1sa 20dk","6.317",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","14:15","4sa 20dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","14:45","4sa 50dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","15:15","5sa 20dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","16:15","6sa 20dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","17:40","7sa 45dk","6.376","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","17:45","7sa 50dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","NCE","Kabin bagajı","1 Aktarma","08:55","08:15","22sa 20dk","6.376","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","16:30","21:45","4sa 15dk","6.804","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","07:40","18:30","9sa 50dk","6.804","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","07:40","20:35","11sa 55dk","6.804","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","07:40","21:45","13sa 5dk","6.804","ORY"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AZ.png","ITA - Italia Trasporto Aereo","LCY","LIN","El çantası","1 Aktarma","07:40","08:35","23sa 55dk","6.804","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","08:00","10:20","1sa 20dk","6.890",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","3x30 kg","Direkt Uçuş","16:31","19:51","2sa 20dk","6.948",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/9F.png","Eurostar","QQS","XPG","2x23 kg","Direkt Uçuş","16:31","19:51","2sa 20dk","6.948",""
