"airline-icon src","summary-marketing-airlines","itemAirport","itemAirport 2","summary-luggage-unit","summary-transit","flight-departure-time","flight-arrival-time","summary-duration","money-int","itemAirport 3"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/U2.png","easyJet","LGW","CDG","1x23 kg","Direkt Uçuş","11:35","13:55","1sa 20dk","9.843",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","10.855",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","1x25 kg","Direkt Uçuş","08:05","10:35","1sa 30dk","10.859",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/SK.png","Scandinavian Airlines","LHR","CPH","1x23 kg","1 Aktarma","06:40","13:25","5sa 45dk","11.029","CDG"
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","ORY","1x23 kg","Direkt Uçuş","15:05","17:40","1sa 35dk","11.040",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/IB.png","Iberia","LGW","ORY","1x23 kg","Direkt Uçuş","14:40","17:05","1sa 25dk","11.758",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","19:45","22:00","1sa 15dk","11.821",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/AF.png","Air France","LHR","CDG","Kabin bagajı","Direkt Uçuş","06:15","08:35","1sa 20dk","11.821",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LGW","ORY","1x23 kg","Direkt Uçuş","14:40","17:05","1sa 25dk","11.943",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/VY.png","Vueling Airlines","LGW","ORY","1x25 kg","Direkt Uçuş","19:40","22:05","1sa 25dk","12.340",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/BA.png","British Airways","LHR","CDG","Kabin bagajı","Direkt Uçuş","20:45","23:00","1sa 15dk","12.574",""
"https://cdn.enuygun.com/ucak-bileti/v-86436/assets/images/airline-icon/TU.png","Tunisair","LGW","TUN","El çantası","1 Aktarma","11:10","20:40","8sa 30dk","12.788","ORY"
